,Name,Price,Shares_Owned,Div_Returned,Total_Expenses,Equity,Funds Invested,Fees Paid
0,VYM,110.0,0.0,0.0,0.0,0.0,0,0.0
1,VYM,111.859,9.090909090909092,0.0,0.0,1000.0000000000001,1000,0.0
2,VYM,113.74941709999999,18.051871485530896,2.3642925000000004,0.0,2019.2642925000005,2000,0.0
3,VYM,115.67178224898998,26.885095927806088,4.774131422275557,0.0,3058.163990465526,3000,0.0
4,VYM,117.62663536899791,35.59275456851336,7.230394186427714,0.0,4117.07735609082,4000,0.0
5,VYM,119.61452550673397,44.17698357368181,9.733975114925355,0.0,5196.38993852368,5000,0.0
6,VYM,121.63601098779776,52.639883722892684,12.285785758727,0.0,6296.494714243458,6000,0.0
7,VYM,123.69165957349153,60.98352099763845,14.886755229175447,0.0,7417.792230143346,7000,0.0
8,VYM,125.78204862028353,69.20992715990451,17.537830536286187,0.0,8560.690749369054,8000,0.0
9,VYM,127.90776524196632,77.32110032113596,20.239976933552636,0.0,9725.606399966944,9000,0.0
10,VYM,130.06940647455554,85.31900550174927,22.994178269393846,0.0,10912.963326395778,10000,0.0
11,VYM,132.2675794439755,93.205575181346,25.80143734537259,0.0,12123.193843957239,11000,0.0
12,VYM,134.5029015365787,100.42347638869495,28.66277628131427,73.9684549195207,13282.770141281908,12000,73.9684549195207
13,VYM,136.77600057254685,108.09174482038942,31.404353824256756,0.0,14538.653310493828,13000,73.9684549195207
14,VYM,139.08751498222287,115.65428228787052,34.373628982100726,0.0,15818.730180423272,14000,73.9684549195207
15,VYM,141.43809398542243,123.11289642198378,37.400105125098385,0.0,17123.46682559752,15000,73.9684549195207
16,VYM,143.82839777377606,130.46936492966177,40.48488418975902,0.0,18453.338299139876,16000,73.9684549195207
17,VYM,146.25909769615288,137.72543609150642,43.629089340619174,0.0,19808.82880573596,17000,73.9684549195207
18,VYM,148.73087644721784,144.8828292511028,46.83386537918549,0.0,21190.431877932082,18000,73.9684549195207
19,VYM,151.2444282591758,151.94323529620144,50.10037916075573,0.0,22598.650555829885,19000,73.9684549195207
20,VYM,153.80045909675587,158.90831713190443,53.42982001926942,0.0,24033.99757024268,20000,73.9684549195207
21,VYM,156.39968685549104,165.7797101459883,56.82340020034298,0.0,25496.995529380118,21000,73.9684549195207
