Row Labels,Sum of Equity,Sum of Funds Invested
0,0,0
1,1000,1000
2,2049.999,2000
3,3152.4969,3000
4,4310.118593,4000
5,5525.620212,5000
6,6801.895697,6000
7,8141.98368,7000
8,9549.074722,8000
9,11026.51891,9000
10,12577.83383,10000
11,14206.71294,11000
12,15805.15662,12000
13,17595.39865,13000
14,19475.15099,14000
15,21448.88906,15000
16,23521.31207,16000
17,25697.35415,17000
18,27982.19616,18000
19,30381.27798,19000
20,32900.3115,20000
21,35545.29418,21000
22,38322.52334,22000
23,41238.61118,23000
24,43975.74675,24000
25,47174.49011,25000
26,50533.16744,26000
27,54059.77528,27000
28,57762.70999,28000
29,61650.78772,29000
30,65733.26546,30000
31,70019.863,31000
32,74520.78613,32000
33,79246.75091,33000
34,84209.00921,34000
35,89419.37546,35000
36,94186.07791,36000
37,99895.28762,37000
38,105889.9521,38000
39,112184.3438,39000
40,118793.4488,40000
41,125733.0025,41000
42,133019.5269,42000
43,140670.3702,43000
44,148703.748,44000
45,157138.7867,45000
46,165995.5689,46000
47,175295.1814,47000
48,183679.3169,48000
49,193863.0991,49000
50,204556.0602,50000
51,215783.6586,51000
52,227572.6258,52000
53,239951.0295,53000
54,252948.341,54000
55,266595.5051,55000
56,280925.0138,56000
57,295970.9835,57000
58,311769.2367,58000
59,328357.3868,59000
60,343189.1158,60000
61,361348.2284,61000
Grand Total,6470576.354,1891000
